,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,song_name,artist,album,id,artist_uri,genres,lyrics,popularity,release_date
0,0.429,0.587,9,-4.588,1,0.0275,0.315,0,0.108,0.164,145.003,audio_features,spotify:track:1mWdyqs6Zvg8b1lKjDc8yB,https://api.spotify.com/v1/tracks/1mWdyqs6Zvg8b1lKjDc8yB,https://api.spotify.com/v1/audio-analysis/1mWdyqs6Zvg8b1lKjDc8yB,293398,3,Good Good Father,Chris Tomlin,The Ultimate Playlist,1mWdyqs6Zvg8b1lKjDc8yB,spotify:artist:6pRi6EIPXz4QJEOEsBaA0m,"['ccm', 'christian alternative rock', 'christian music', 'world worship', 'worship']",,69.0,2016-04-29
1,0.494,0.632,5,-6.89,1,0.0342,0.682,0,0.0869,0.0797,147.873,audio_features,spotify:track:6Up545NUflOiXo8cEraH49,https://api.spotify.com/v1/tracks/6Up545NUflOiXo8cEraH49,https://api.spotify.com/v1/audio-analysis/6Up545NUflOiXo8cEraH49,274693,4,You Say,Lauren Daigle,Look Up Child,6Up545NUflOiXo8cEraH49,spotify:artist:40LHVA5BTQp9RxHOQ9JPYj,"['ccm', 'christian alternative rock', 'christian music', 'worship']",,80.0,2018-09-07
2,0.597,0.417,2,-7.952,1,0.0502,0.395,8.35e-06,0.128,0.263,143.839,audio_features,spotify:track:4ElNxglBjcrASiGn58t9Jm,https://api.spotify.com/v1/tracks/4ElNxglBjcrASiGn58t9Jm,https://api.spotify.com/v1/audio-analysis/4ElNxglBjcrASiGn58t9Jm,229760,4,God Only Knows,for KING & COUNTRY,Burn The Ships,4ElNxglBjcrASiGn58t9Jm,spotify:artist:3sDbKMebVH2VYcRSl7u1VC,"['ccm', 'christian alternative rock', 'christian indie', 'christian music', 'world worship', 'worship']",,69.0,2018-10-05
3,0.256,0.564,11,-6.496,1,0.0366,0.00274,0,0.743,0.152,139.914,audio_features,spotify:track:1lEk3U3MzbDeL5MNHkE9JU,https://api.spotify.com/v1/tracks/1lEk3U3MzbDeL5MNHkE9JU,https://api.spotify.com/v1/audio-analysis/1lEk3U3MzbDeL5MNHkE9JU,349587,3,O Come to the Altar (Live),Elevation Worship,Here As In Heaven,1lEk3U3MzbDeL5MNHkE9JU,spotify:artist:3YCKuqpv9nCsIhJ2v8SMix,"['ccm', 'christian music', 'worship']",,71.0,2016-02-05
4,0.495,0.654,3,-6.313,1,0.0312,0.0148,0,0.289,0.306,139.995,audio_features,spotify:track:3z2Fn7lXuXKsw7HtTGr5M8,https://api.spotify.com/v1/tracks/3z2Fn7lXuXKsw7HtTGr5M8,https://api.spotify.com/v1/audio-analysis/3z2Fn7lXuXKsw7HtTGr5M8,250312,4,King of My Heart,Kutless,Alpha / Omega,3z2Fn7lXuXKsw7HtTGr5M8,spotify:artist:3lLT23km6QvzYCojCXAYtX,"['ccm', 'christian alternative rock', 'christian music', 'christian rock', 'worship']",,55.0,2017-11-10
5,0.561,0.717,8,-5.72,1,0.0381,0.458,0,0.138,0.455,79.993,audio_features,spotify:track:0W7KIc2GSB9suYQAaMZ9rF,https://api.spotify.com/v1/tracks/0W7KIc2GSB9suYQAaMZ9rF,https://api.spotify.com/v1/audio-analysis/0W7KIc2GSB9suYQAaMZ9rF,206400,4,Nobody (feat. Matthew West),Casting Crowns,Only Jesus,0W7KIc2GSB9suYQAaMZ9rF,spotify:artist:6eJqAWJdd8JhAN1pQGie4r,"['ccm', 'christian alternative rock', 'christian music', 'worship']",,71.0,2018-11-16
6,0.447,0.901,8,-4.234,1,0.0317,0.0116,0,0.128,0.726,164.03,audio_features,spotify:track:4P7z81K80kBgxP5YSVjtpD,https://api.spotify.com/v1/tracks/4P7z81K80kBgxP5YSVjtpD,https://api.spotify.com/v1/audio-analysis/4P7z81K80kBgxP5YSVjtpD,203720,4,Courage,Kevin Winebarger,Courage,4P7z81K80kBgxP5YSVjtpD,spotify:artist:0Mihk33hOz5pYMIDALdiFG,[],,48.0,2019-05-31
7,0.581,0.715,11,-5.524,1,0.0413,0.162,1.27e-06,0.258,0.52,90.123,audio_features,spotify:track:02RCTBFKyLaECOTgfr0zTM,https://api.spotify.com/v1/tracks/02RCTBFKyLaECOTgfr0zTM,https://api.spotify.com/v1/audio-analysis/02RCTBFKyLaECOTgfr0zTM,176707,4,Church (Take Me Back),Cochren & Co.,Don't Lose Hope,02RCTBFKyLaECOTgfr0zTM,spotify:artist:50hkKRxo0g8Ck4JqlwoJr4,['ccm'],,62.0,2021-01-22
8,0.552,0.71,7,-8.619,1,0.0298,0.00215,2.73e-06,0.182,0.445,115.975,audio_features,spotify:track:0UL9awCNZORZpqGzinoBO2,https://api.spotify.com/v1/tracks/0UL9awCNZORZpqGzinoBO2,https://api.spotify.com/v1/audio-analysis/0UL9awCNZORZpqGzinoBO2,316549,4,Hosanna (Praise Is Rising),Paul Baloche,Hosanna (Praise Is Rising) [Audio Performance Trax],0UL9awCNZORZpqGzinoBO2,spotify:artist:1jH3GuQCPI87UrS0hcScHr,"['ccm', 'christelijk', 'christian alternative rock', 'christian music', 'classic praise', 'french worship', 'roots worship', 'world worship', 'worship']",,51.0,2015-04-05
9,0.516,0.905,11,-5.613,1,0.0399,0.000479,0,0.198,0.612,129.999,audio_features,spotify:track:0eI19vR5WZ12fuYcEFUVkw,https://api.spotify.com/v1/tracks/0eI19vR5WZ12fuYcEFUVkw,https://api.spotify.com/v1/audio-analysis/0eI19vR5WZ12fuYcEFUVkw,258453,4,God's Not Dead (Like A Lion),Newsboys,God's Not Dead,0eI19vR5WZ12fuYcEFUVkw,spotify:artist:1SZMaiNHfdUuU0qZKZ6y62,"['ccm', 'christian alternative rock', 'christian music', 'worship']",,66.0,2011-01-01
10,0.253,0.395,2,-9.633,1,0.0306,0.313,0,0.316,0.0999,145.963,audio_features,spotify:track:0voVzEvUL4HPHgp7P2rGdt,https://api.spotify.com/v1/tracks/0voVzEvUL4HPHgp7P2rGdt,https://api.spotify.com/v1/audio-analysis/0voVzEvUL4HPHgp7P2rGdt,473653,3,I Need You - Live,Gateway Worship,I Need You (Live),0voVzEvUL4HPHgp7P2rGdt,spotify:artist:2b6REyd5UBBp4ZPDhZ2TNB,"['anthem worship', 'ccm', 'christian music', 'world worship', 'worship']",,52.0,2022-02-11
11,0.51,0.937,0,-4.979,1,0.0821,0.0187,0,0.681,0.539,141.975,audio_features,spotify:track:5uj2wWw0gnNqkVqGNWbGrf,https://api.spotify.com/v1/tracks/5uj2wWw0gnNqkVqGNWbGrf,https://api.spotify.com/v1/audio-analysis/5uj2wWw0gnNqkVqGNWbGrf,244333,4,Nothing Is Impossible (Featuring Israel Houghton),Planetshakers,Nothing Is Impossible,5uj2wWw0gnNqkVqGNWbGrf,spotify:artist:5A0SFJQSdSjFHGcndiGT1s,"['ccm', 'christian alternative rock', 'christian music', 'world worship', 'worship']",,61.0,2011-06-28
12,0.572,0.317,0,-9.108,1,0.0241,0.705,0.00385,0.528,0.38,78.009,audio_features,spotify:track:5fTJGZ6k0zokfh5KLfe0sm,https://api.spotify.com/v1/tracks/5fTJGZ6k0zokfh5KLfe0sm,https://api.spotify.com/v1/audio-analysis/5fTJGZ6k0zokfh5KLfe0sm,238733,4,Missing Peace,JJ Heller,Missing Peace,5fTJGZ6k0zokfh5KLfe0sm,spotify:artist:7dq8KEwf0kQXJhM79iwcPh,"['acoustic pop', 'ccm', 'christian alternative rock', 'christian music', 'indiecoustica', 'neo mellow', 'worship']",,60.0,2020-01-03
