,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,song_name,artist,album,id,artist_uri,genres,lyrics,release_date
0,0.654,0.843,8,-5.012,0,0.0626,0.011,6.31e-06,0.11,0.383,128.051,audio_features,spotify:track:5hiaMC2Q16n1RYYKg49Qje,https://api.spotify.com/v1/tracks/5hiaMC2Q16n1RYYKg49Qje,https://api.spotify.com/v1/audio-analysis/5hiaMC2Q16n1RYYKg49Qje,219627,4,Raise Your Weapon - Madeon Remix,Various Artists,Ultra / Wynn presents Encore Beach Club Las Vegas Sessions Vol. 1 (Mixed by Sidney Samson),5hiaMC2Q16n1RYYKg49Qje,spotify:artist:0LyfQWJT6nXafLPZqxe9Of,[],,2013-07-23
1,0.518,0.724,8,-6.327,1,0.0839,0.0308,0,0.116,0.334,121.884,audio_features,spotify:track:7pstxLUhvsJC3M4TxHe2aI,https://api.spotify.com/v1/tracks/7pstxLUhvsJC3M4TxHe2aI,https://api.spotify.com/v1/audio-analysis/7pstxLUhvsJC3M4TxHe2aI,192731,4,Carry You Home,Tiësto,Carry You Home,7pstxLUhvsJC3M4TxHe2aI,spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'house', 'pop', 'pop dance', 'slap house', 'trance', 'tropical house']",,2017-09-29
2,0.652,0.855,2,-4.832,1,0.0441,0.00179,0,0.0404,0.279,134.009,audio_features,spotify:track:6WbADFqMvR8N5u0BvtsWQE,https://api.spotify.com/v1/tracks/6WbADFqMvR8N5u0BvtsWQE,https://api.spotify.com/v1/audio-analysis/6WbADFqMvR8N5u0BvtsWQE,181673,4,Without You (feat. Sandro Cavazza),Avicii,AVĪCI (01),6WbADFqMvR8N5u0BvtsWQE,spotify:artist:1vCWHaC5f2uS3yhpwWbIA6,"['dance pop', 'edm', 'pop', 'pop dance']",,2017-08-10
3,0.722,0.827,1,-6.501,0,0.0659,0.0844,9.14e-05,0.0654,0.346,121.896,audio_features,spotify:track:1UIUOVUjP05FNIABL61bCk,https://api.spotify.com/v1/tracks/1UIUOVUjP05FNIABL61bCk,https://api.spotify.com/v1/audio-analysis/1UIUOVUjP05FNIABL61bCk,197954,4,Blind Heart - Radio Edit,CAZZETTE,Blind Heart (Radio Edit),1UIUOVUjP05FNIABL61bCk,spotify:artist:1IELhvOMg5VQlU7syRm6CS,"['complextro', 'edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']",,2014-10-21
4,0.548,0.911,7,-6.233,1,0.0408,0.053,0.065,0.0721,0.438,164.997,audio_features,spotify:track:5LXxoROxBgjNvIWQbU4Kd2,https://api.spotify.com/v1/tracks/5LXxoROxBgjNvIWQbU4Kd2,https://api.spotify.com/v1/audio-analysis/5LXxoROxBgjNvIWQbU4Kd2,228253,3,Eyes Wide Open,Scavenger Hunt,Eyes Wide Open,5LXxoROxBgjNvIWQbU4Kd2,spotify:artist:2CJw5Z0VmlBMrS1J1dtG9Z,"['electropop', 'indie poptimism', 'nightrun', 'vapor soul']",,2017-10-13
5,0.557,0.873,0,-4.756,1,0.0485,0.0162,0,0.171,0.367,119.923,audio_features,spotify:track:1rsbGdOm0druhhb3QigSxM,https://api.spotify.com/v1/tracks/1rsbGdOm0druhhb3QigSxM,https://api.spotify.com/v1/audio-analysis/1rsbGdOm0druhhb3QigSxM,215132,4,Heavy - John Gibbons Remix,Anne-Marie,Heavy (John Gibbons Remix),1rsbGdOm0druhhb3QigSxM,spotify:artist:1zNqDE7qDGCsyzJwohVaoX,"['dance pop', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']",,2017-10-13
6,0.593,0.914,1,-5.351,1,0.0363,0.00137,0.445,0.0714,0.0381,128.015,audio_features,spotify:track:65G7XDGcybJiGywSCXJiL5,https://api.spotify.com/v1/tracks/65G7XDGcybJiGywSCXJiL5,https://api.spotify.com/v1/audio-analysis/65G7XDGcybJiGywSCXJiL5,176120,4,Animals - Radio Edit,Martin Garrix,Animals,65G7XDGcybJiGywSCXJiL5,spotify:artist:60d24wfXkVzDSfLS6hyCjZ,"['dance pop', 'dutch edm', 'edm', 'pop', 'pop dance', 'progressive house', 'tropical house']",,2016-12-16
7,0.642,0.902,5,-4.631,0,0.0392,0.000352,0.757,0.311,0.295,127.99,audio_features,spotify:track:296fTW1CMX9j9mBRXKQMYi,https://api.spotify.com/v1/tracks/296fTW1CMX9j9mBRXKQMYi,https://api.spotify.com/v1/audio-analysis/296fTW1CMX9j9mBRXKQMYi,273949,4,Thunderclap,Adventure Club,Calling All Heroes - EP,296fTW1CMX9j9mBRXKQMYi,spotify:artist:5CdJjUi9f0cVgo9nFuJrFa,"['brostep', 'canadian electronic', 'edm', 'electro house', 'electronic trap', 'electropop', 'filthstep', 'future bass', 'melodic dubstep', 'pop dance', 'pop edm']",,2013-10-22
8,0.641,0.731,5,-4.96,0,0.0339,0.0306,0,0.258,0.505,123.048,audio_features,spotify:track:3slBHvoQcO8HjscbP2QKk5,https://api.spotify.com/v1/tracks/3slBHvoQcO8HjscbP2QKk5,https://api.spotify.com/v1/audio-analysis/3slBHvoQcO8HjscbP2QKk5,203000,4,More Than You Know,Axwell /\ Ingrosso,More Than You Know,3slBHvoQcO8HjscbP2QKk5,spotify:artist:2XnBwblw31dfGnspMIwgWz,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']",,2017-05-24
9,0.52,0.761,4,-3.093,1,0.0853,0.256,4.96e-06,0.17,0.286,141.971,audio_features,spotify:track:7vGuf3Y35N4wmASOKLUVVU,https://api.spotify.com/v1/tracks/7vGuf3Y35N4wmASOKLUVVU,https://api.spotify.com/v1/audio-analysis/7vGuf3Y35N4wmASOKLUVVU,180823,4,Silence,Marshmello,Silence,7vGuf3Y35N4wmASOKLUVVU,spotify:artist:64KEffDW9EtZ1y2vBYgq8T,"['brostep', 'dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",,2017-08-11
