danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,song_name,artist,album,id,artist_uri,genres,lyrics,popularity,release_date,lyrics_filtered,valence_lyrics,arousal_lyrics,dominance_lyrics
0.429,0.587,9,-4.588,1,0.0275,0.315,0.0,0.108,0.164,145.003,audio_features,spotify:track:1mWdyqs6Zvg8b1lKjDc8yB,https://api.spotify.com/v1/tracks/1mWdyqs6Zvg8b1lKjDc8yB,https://api.spotify.com/v1/audio-analysis/1mWdyqs6Zvg8b1lKjDc8yB,293398,3,Good Good Father,Chris Tomlin,The Ultimate Playlist,1mWdyqs6Zvg8b1lKjDc8yB,spotify:artist:6pRi6EIPXz4QJEOEsBaA0m,"['ccm', 'christian alternative rock', 'christian music', 'world worship', 'worship']","[""[Verse 1]\nOh, I've heard a thousand stories of what they think You're like\nBut I've heard the tender whisper of love in the dead of night\nAnd You tell me that You're pleased\nAnd that I'm never alone\n\n[Chorus]\nYou're a Good, Good Father\nIt's who You are\nIt's who You are\nIt's who You are\nAnd I'm loved by You\nIt's who I am\nIt's who I am\nIt's who I am\n[Verse 2]\nOh, I've seen many searching for answers far and wide\nBut I know we're all searching\nFor answers only You provide\nCause You know just what we need\nBefore we say a word\n\n[Chorus]\nIt's who You are\nIt's who You are\nIt's who You are\nAnd I'm loved by You\nIt's who I am\nIt's who I am\nIt's who I am\n\n[Bridge]\nCause You are perfect in all of Your ways\nYou are perfect in all of Your ways\nYou are perfect in all of Your ways to us, aah\nYou are perfect in all of Your ways\nOh, you're perfect in all of Your ways\nYou are perfect in all of Your ways to us\n\n[Verse 3]\nOh, it's love so undeniable\nI, I can hardly speak\nPeace so unexplainable\nI, I can hardly think\nAs You call me deeper still\nAs You call me deeper still\nAs You call me deeper still\nInto love, love, love\n\n[Chorus]\nYou're a Good, Good Father\nIt's who You are\nIt's who You are\nIt's who You are\nAnd I'm loved by You\nIt's who I am\nIt's who I am\nIt's who I am\n\nYou're a Good, Good Father\nIt's who You are\nIt's who You are\nIt's who You are\nAnd I'm loved by You\nIt's who I am\nIt's who I am\nIt's who I am\n\nYou're a Good, Good Father\nIt's who You are\nIt's who You are\nIt's who You are\nAnd I'm loved by You\nIt's who I am\nIt's who I am\nIt's who I am\nYou're a Good, Good Father\n\n[Bridge]\nYou are perfect in all of Your ways\nIt's who You are\nIt's who You are\nIt's who You are\nAnd I'm loved by You\nYou are perfect in all of Your ways\nIt's who I am\nIt's who I am\nIt's who I am""]",67.0,2016-04-29,oh i've heard thousand stories think like i've heard tender whisper love dead night tell pleased i'm never alone good good father i'm loved oh i've seen many searching answers far wide know we're searching answers provide cause know need say word i'm loved cause perfect ways perfect ways perfect ways us aah perfect ways oh perfect ways perfect ways us oh love undeniable hardly speak peace unexplainable hardly think call deeper still call deeper still call deeper still love love love good good father i'm loved good good father i'm loved good good father i'm loved good good father perfect ways i'm loved perfect ways,3.7111111111111112,2.3946666666666663,3.4124444444444437
0.494,0.632,5,-6.89,1,0.0342,0.682,0.0,0.0869,0.0797,147.873,audio_features,spotify:track:6Up545NUflOiXo8cEraH49,https://api.spotify.com/v1/tracks/6Up545NUflOiXo8cEraH49,https://api.spotify.com/v1/audio-analysis/6Up545NUflOiXo8cEraH49,274693,4,You Say,Lauren Daigle,Look Up Child,6Up545NUflOiXo8cEraH49,spotify:artist:40LHVA5BTQp9RxHOQ9JPYj,"['ccm', 'christian alternative rock', 'christian music', 'worship']","[""[Verse 1]\nI keep fighting voices in my mind that say I’m not enough\nEvery single lie that tells me I will never measure up\nAm I more than just the sum of every high and every low?\nRemind me once again just who I am, because I need to know\n\n[Chorus]\nYou say I am loved when I can’t feel a thing\nYou say I am strong when I think I am weak\nYou say I am held when I am falling short\nWhen I don’t belong, You say I am Yours\nAnd I believe, I believe\nWhat You say of me\nI believe\n\n[Verse 2]\nThe only thing that matters now is everything You think of me\nIn You, I find my worth; in You, I find my identity\n[Chorus]\nYou say I am loved when I can’t feel a thing\nYou say I am strong when I think I am weak\nYou say I am held when I am falling short\nWhen I don’t belong, You say I am Yours\nAnd I believe, I believe\nWhat You say of me\nI believe\n\n[Bridge]\nTaking all I have and now I'm laying it at Your feet\nYou have every failure, God\nYou'll have every victory\n\n[Chorus]\nYou say I am loved when I can’t feel a thing\nYou say I am strong when I think I am weak\nYou say I am held when I am falling short\nWhen I don’t belong, You say I am Yours\nAnd I believe, I believe\nWhat You say of me\nI believe\n\n[Outro]\nOh, I believe\nYes, I believe\nWhat You say of me\nOh, I believe""]",77.0,2018-09-07,keep fighting voices mind say i’m enough every single lie tells never measure sum every high every low? remind need know say loved can’t feel thing say strong think weak say held falling short don’t belong say believe believe say believe thing matters everything think find worth; find identity say loved can’t feel thing say strong think weak say held falling short don’t belong say believe believe say believe taking i'm laying feet every failure god every victory say loved can’t feel thing say strong think weak say held falling short don’t belong say believe believe say believe oh believe yes believe say oh believe,3.1189130434782615,2.2680434782608705,3.1406521739130433
0.597,0.417,2,-7.952,1,0.0502,0.395,8.35e-06,0.128,0.263,143.839,audio_features,spotify:track:4ElNxglBjcrASiGn58t9Jm,https://api.spotify.com/v1/tracks/4ElNxglBjcrASiGn58t9Jm,https://api.spotify.com/v1/audio-analysis/4ElNxglBjcrASiGn58t9Jm,229760,4,God Only Knows,for KING & COUNTRY,Burn The Ships,4ElNxglBjcrASiGn58t9Jm,spotify:artist:3sDbKMebVH2VYcRSl7u1VC,"['ccm', 'christian alternative rock', 'christian indie', 'christian music', 'world worship', 'worship']","[""[Intro: Joel &amp; Luke Smallbone]\nMm, mm-mm-hmm\nMm, mm-mm-hmm\nMm, mm-mm-hmm\nMm, mm-mm-hmm\n\n[Verse 1: Joel Smallbone, Joel &amp; Luke Smallbone]\nWide awake while the world is sound asleepin'\nToo afraid of what might show up while you're dreamin'\nNobody, nobody, nobody sees you\nNobody, nobody would believe you\n\n[Verse 2: Joel Smallbone, Joel &amp; Luke Smallbone]\nEvery day you try to pick up all the pieces\nAll the memories, they somehow never leave you\nNobody, nobody, nobody sees you\nNobody, nobody would believe you\n[Chorus: Luke Smallbone, Luke &amp; Joel Smallbone]\nGod only knows what you've been through\nGod only knows what they say about you\nGod only knows how it's killing you\nBut there's a kind of love that God only knows\nGod only knows what you've been through\nGod only knows what they say about you\nBut God only knows the real you\nThere's a kind of love that God only knows\n\n[Post-Chorus]\nThere's a kind of love that\nThere's a kind of love\n\n[Verse 2: Joel &amp; Luke Smallbone]\nYou keep a cover over every single secret\nSo afraid if someone saw them, they would leave\nBut somebody, somebody, somebody sees you\nSomebody, somebody will never leave you\n\n[Chorus: Luke Smallbone, Luke &amp; Joel Smallbone]\nGod only knows what you've been through\nGod only knows what they say about you\nGod only knows how it's killing you\nBut there's a kind of love that God only knows\nGod only knows what you've been through\nGod only knows what they say about you\nBut God only knows the real you\nThere's a kind of love that God only knows\n\n[Post-Chorus]\nThere's a kind of love that\nThere's a kind of love\nThere's a kind of love that\nThere's a kind of love\n\n[Bridge: Luke Smallbone, Luke &amp; Joel Smallbone]\nFor the lonely, for the ashamed\nThe misunderstood, and the ones to blame\nWhat if we could start over?\nWe could start over, we could start over (Over)\nOh, for the lonely, for the ashamed\nThe misunderstood, and the ones to blame\nWhat if we could start over?\nWe could start over, we could start over\n'Cause there's a kind of love that God only knows\n\n[Chorus: Luke &amp; Joel Smallbone]\nGod only knows what you've been through\nGod only knows what they say about you\nGod only knows the real you\nBut there's a kind of love that God only knows\nGod only knows what you've been through\nGod only knows what they say about you\nBut God only knows the real you\nThere's a kind of love that God only knows\n\n[Post-Chorus]\nThere's a kind of love that\nThere's a kind of love\nThere's a kind of love that\nThere's a kind of love\n\n[Outro: Luke Smallbone]\nGod only knows where to find you\nGod only knows how to break through\nGod only knows the real you\nThere's a kind of love that God only knows""]",66.0,2018-10-05,mm mm-mm-hmm mm mm-mm-hmm mm mm-mm-hmm mm mm-mm-hmm wide awake world sound asleepin' afraid might show dreamin' nobody nobody nobody sees nobody nobody would believe every day try pick pieces memories somehow never leave nobody nobody nobody sees nobody nobody would believe god knows god knows say god knows killing there's kind love god knows god knows god knows say god knows real there's kind love god knows there's kind love there's kind love keep cover every single secret afraid someone saw would leave somebody somebody somebody sees somebody somebody never leave god knows god knows say god knows killing there's kind love god knows god knows god knows say god knows real there's kind love god knows there's kind love there's kind love there's kind love there's kind love lonely ashamed misunderstood ones blame could start over? could start could start oh lonely ashamed misunderstood ones blame could start over? could start could start 'cause there's kind love god knows god knows god knows say god knows real there's kind love god knows god knows god knows say god knows real there's kind love god knows there's kind love there's kind love there's kind love there's kind love god knows find god knows break god knows real there's kind love god knows,3.224901960784313,2.526470588235294,3.2019607843137257
0.256,0.564,11,-6.496,1,0.0366,0.00274,0.0,0.743,0.152,139.914,audio_features,spotify:track:1lEk3U3MzbDeL5MNHkE9JU,https://api.spotify.com/v1/tracks/1lEk3U3MzbDeL5MNHkE9JU,https://api.spotify.com/v1/audio-analysis/1lEk3U3MzbDeL5MNHkE9JU,349587,3,O Come to the Altar (Live),Elevation Worship,Here As In Heaven,1lEk3U3MzbDeL5MNHkE9JU,spotify:artist:3YCKuqpv9nCsIhJ2v8SMix,"['ccm', 'christian music', 'worship']",[''],68.0,2016-02-05,Error: No lyrics found,,,
0.495,0.654,3,-6.313,1,0.0312,0.0148,0.0,0.289,0.306,139.995,audio_features,spotify:track:3z2Fn7lXuXKsw7HtTGr5M8,https://api.spotify.com/v1/tracks/3z2Fn7lXuXKsw7HtTGr5M8,https://api.spotify.com/v1/audio-analysis/3z2Fn7lXuXKsw7HtTGr5M8,250312,4,King of My Heart,Kutless,Alpha / Omega,3z2Fn7lXuXKsw7HtTGr5M8,spotify:artist:3lLT23km6QvzYCojCXAYtX,"['ccm', 'christian alternative rock', 'christian music', 'christian rock', 'worship']","[""[Verse 1]\nLet the king of my heart\nBe the mountain where I run\nThe fountain I drink from\nOh, He is my song\nLet the king of my heart\nBe the shadow where I hide\nThe ransom for my life\nOh, He is my song\n\n[Chorus]\nYou are good, good, oh\nYou are good, good, oh\nYou are good, good, oh\nYou are good, good, oh\n[Verse 2]\nLet the king of my heart\nBe the wind inside my sails\nThe anchor in the waves\nOh, He is my song\nLet the king of my heart\nBe the fire inside my veins\nThe echo of my days\nOh, He is my song\n\n[Chorus]\nYou are good, good, oh\nYou are good, good, oh\nYes, you are good, good, oh\nYou are good, good, oh\n\n[Bridge]\nYou're never gonna let\nNever gonna let me down\nYou're never gonna let\nNever gonna let me down\nYou're never gonna let\nNever gonna let me down\nYou're never gonna let\nNever gonna let me down\n\n[Chorus]\nYou are good, good, oh\nYou are good, good, oh\nYou are good, good, oh\n(When the night is holding on to me)\nYou are good, good, oh\n(You are holding on)\nYou are good, good, oh\n(When the night is holding on to me)\nYou are good, good, oh\n(You are holding on)\nYou are good, good, oh\n(You are good, you're good, oh)\nYou are good, good, oh\n\n[Outro]\nWhen the night is holding on to me\nGod is holding on\nWhen the night is holding on to me\nGod is holding on""]",53.0,2017-11-10,let king heart mountain run fountain drink oh song let king heart shadow hide ransom life oh song good good oh good good oh good good oh good good oh let king heart wind inside sails anchor waves oh song let king heart fire inside veins echo days oh song good good oh good good oh yes good good oh good good oh never gonna let never gonna let never gonna let never gonna let never gonna let never gonna let never gonna let never gonna let good good oh good good oh good good oh night holding good good oh holding good good oh night holding good good oh holding good good oh good good oh good good oh night holding god holding night holding god holding,3.871379310344827,2.7796551724137935,3.4662068965517245
0.561,0.717,8,-5.72,1,0.0381,0.458,0.0,0.138,0.455,79.993,audio_features,spotify:track:0W7KIc2GSB9suYQAaMZ9rF,https://api.spotify.com/v1/tracks/0W7KIc2GSB9suYQAaMZ9rF,https://api.spotify.com/v1/audio-analysis/0W7KIc2GSB9suYQAaMZ9rF,206400,4,Nobody (feat. Matthew West),Casting Crowns,Only Jesus,0W7KIc2GSB9suYQAaMZ9rF,spotify:artist:6eJqAWJdd8JhAN1pQGie4r,"['ccm', 'christian alternative rock', 'christian music', 'world worship', 'worship']","['[Verse 1: Mark Hall]\nWhy You ever chose me\nHas always been a mystery\nAll my life, I\'ve been told I belong\nAt the end of a line\nWith all the other Not-Quites\nWith all the Never-Get-It-Rights\nBut it turns out they are the ones You were looking for\nAll this time\n\n[Chorus: Mark Hall &amp; Matthew West]\n\'Cause I\'m just a nobody trying to tell everybody\nAll about Somebody who saved my soul\nEver since You rescued me, You gave my heart a song to sing\nI\'m living for the world to see nobody but Jesus\nI\'m living for the world to see nobody but Jesus\n[Verse 2: Matthew West]\nMoses had stage fright\nAnd David brought a rock to a sword fight\nYou picked twelve outsiders nobody would\'ve chosen\nAnd You changed the world\nWell, the moral of the story is\nEverybody\'s got a purpose\nSo when I hear that devil start talking to me, saying\n""Who do you think you are?"" I say\n\n[Chorus: Mark Hall &amp; Matthew West]\nI\'m just a nobody trying to tell everybody\nAll about Somebody who saved my soul\nEver since You rescued me, You gave my heart a song to sing\nI\'m living for the world to see nobody but Jesus\nI\'m living for the world to see nobody but Jesus\n\n[Bridge: [Megan Garrett?] &amp; Mark Hall]\nSo let me go down, down, down in history\nAs another blood-bought  faithful member of the family\nAnd if they all forget my name, well, that\'s fine with me\nI\'m living for the world to see nobody but Jesus\nSo let me go down, down, down in history (Go down in history)\nAs another blood-bought faithful member of the family (It\'s all I ever wanna be)\nAnd if they all forget my name, well, that\'s fine with me\nI\'m living for the world to see nobody but Jesus, yeah!\n\n[Chorus: Mark Hall &amp; Matthew West]\nI\'m just a nobody (Nobody)\nTrying to tell everybody\nAll about Somebody\nWho saved my soul (Oh, saved my, saved my soul)\nEver since You rescued me\nYou gave my heart a song to sing (You gave me a song to sing)\nI\'m living for the world to see\nNobody but Jesus (Nobody but You, Lord)\nI\'m living for the world to see nobody but Jesus\n\n[Outro: Mark Hall &amp; Matthew West]\nI\'m living for the world to see nobody but Jesus']",68.0,2018-11-16,"ever chose always mystery life i've told belong end line not-quites never-get-it-rights turns ones looking time 'cause i'm nobody trying tell everybody somebody saved soul ever since rescued gave heart song sing i'm living world see nobody jesus i'm living world see nobody jesus moses stage fright david brought rock sword fight picked twelve outsiders nobody would've chosen changed world well moral story everybody's got purpose hear devil start talking saying ""who think are?"" say i'm nobody trying tell everybody somebody saved soul ever since rescued gave heart song sing i'm living world see nobody jesus i'm living world see nobody jesus [bridge: [megan garrett?] &amp; mark hall] let go history another blood-bought faithful member family forget name well that's fine i'm living world see nobody jesus let go history go history another blood-bought faithful member family ever wanna forget name well that's fine i'm living world see nobody jesus yeah! i'm nobody nobody trying tell everybody somebody saved soul oh saved saved soul ever since rescued gave heart song sing gave song sing i'm living world see nobody jesus nobody lord i'm living world see nobody jesus i'm living world see nobody jesus",2.552209302325581,1.8001162790697676,2.3982558139534884
0.447,0.901,8,-4.234,1,0.0317,0.0116,0.0,0.128,0.726,164.03,audio_features,spotify:track:4P7z81K80kBgxP5YSVjtpD,https://api.spotify.com/v1/tracks/4P7z81K80kBgxP5YSVjtpD,https://api.spotify.com/v1/audio-analysis/4P7z81K80kBgxP5YSVjtpD,203720,4,Courage,Kevin Winebarger,Courage,4P7z81K80kBgxP5YSVjtpD,spotify:artist:0Mihk33hOz5pYMIDALdiFG,[],"[""[Verse 1]\nIn darkness, You promised\nYou'd be the light of the world\nLight of my world\nIn hard times, I've realized\nYou're standing right by my side\nRight by my side\n\n[Chorus]\nYou are my courage, my courage\nYou're fighting for me to the end\nMy only shield, my one defense\nYou are my courage, my courage\nNo fear of hell will have its way\nYou are filling me with faith\nYou are my courage\n[Verse 2]\nHope's rising 'cause I'm finding\nYou called me to greater things\nI'll do greater things\nI'm growing as You show me\nI am a child of the King\nI won't fear anything\n\n[Chorus]\n'Cause You are my courage, my courage\nYou're fighting for me to the end\nMy only shield, my one defense\nYou are my courage, my courage\nNo fear of hell will have its way\nYou are filling me with faith\nYou are my courage\n\n[Bridge]\nYou are with me wherever I go\nI am strong here in Your love\nEven in the dark, I know\nYou are with me wherever I go\nI am strong here in Your love\nEven in the dark, I know\n\n[Chorus]\nYou are my courage, my courage\nYou're fighting for me to the end\nMy only shield, my one defense\nYou are my courage, my courage\nNo fear of hell will have its way\nYou are filling me with faith\nYou are my courage\n\n[Outro]\nYou are my courage\nYou are my courage\nYou are my courage""]",45.0,2019-05-31,darkness promised light world light world hard times i've realized standing right side right side courage courage fighting end shield one defense courage courage fear hell way filling faith courage hope's rising 'cause i'm finding called greater things i'll greater things i'm growing show child king fear anything 'cause courage courage fighting end shield one defense courage courage fear hell way filling faith courage wherever go strong love even dark know wherever go strong love even dark know courage courage fighting end shield one defense courage courage fear hell way filling faith courage courage courage courage,3.263953488372093,2.4099999999999997,3.044883720930233
0.581,0.715,11,-5.524,1,0.0413,0.162,1.27e-06,0.258,0.52,90.123,audio_features,spotify:track:02RCTBFKyLaECOTgfr0zTM,https://api.spotify.com/v1/tracks/02RCTBFKyLaECOTgfr0zTM,https://api.spotify.com/v1/audio-analysis/02RCTBFKyLaECOTgfr0zTM,176707,4,Church (Take Me Back),Cochren & Co.,Don't Lose Hope,02RCTBFKyLaECOTgfr0zTM,spotify:artist:50hkKRxo0g8Ck4JqlwoJr4,['ccm'],"[""[Verse 1]\nThere was a time that I swore I would never go back\nI was blind to the truth, didn't know what I had\nI was running, I was searching\nBut every place I turned for healing\nLeft me more broken than the last\n\n[Chorus]\nTake me back\nTo the place that feels like home\nTo the people I can depend on\nTo the faith that's in my bones\nTake me back\nTo a preacher and a verse\nWhere they've seen me at my worst\nTo the love I had at first\nOh, I want to go to church\n[Verse 2]\nTried to walk on my own but I wound up lost\nNow I'm making my way to the foot of the cross\nIt's not a trophy for the winners\nIt's a shelter for the sinners\nAnd it's right where I belong\n\n[Chorus]\nTake me back\nTo the place that feels like home\nTo the people I can depend on\nTo the faith that's in my bones\nTake me back\nTo a preacher and a verse\nWhere they've seen me at my worst\nTo the love I had at first\nOh, I want to go to church\nI want to go to church\n\n[Bridge]\nOh, more than an obligation\nIt's our foundation\nThe family of God\nI know it's hard\nBut we need each other\nWe're sisters and brothers\n\n[Chorus]\nOh, take me back\nTo the place that feels like home\nTo the people I can depend on\nTo the faith that's in my bones\nTake me back\nTo a preacher and a verse\nWhere they've seen me at my worst\nTo the love I had at first\nOh, I want to go to church\nYeah, I want to go to church (Take me back)\nOh, I want to go, want to go, I want to go\nOh, I want to go to church (Take me back)\nOh, I want to go to church""]",59.0,2021-01-22,time swore would never go back blind truth know running searching every place turned healing left broken last take back place feels like home people depend faith that's bones take back preacher verse they've seen worst love first oh want go church tried walk wound lost i'm making way foot cross trophy winners shelter sinners right belong take back place feels like home people depend faith that's bones take back preacher verse they've seen worst love first oh want go church want go church oh obligation foundation family god know hard need we're sisters brothers oh take back place feels like home people depend faith that's bones take back preacher verse they've seen worst love first oh want go church yeah want go church take back oh want go want go want go oh want go church take back oh want go church,3.642580645161291,2.55258064516129,3.4562903225806445
0.552,0.71,7,-8.619,1,0.0298,0.00215,2.73e-06,0.182,0.445,115.975,audio_features,spotify:track:0UL9awCNZORZpqGzinoBO2,https://api.spotify.com/v1/tracks/0UL9awCNZORZpqGzinoBO2,https://api.spotify.com/v1/audio-analysis/0UL9awCNZORZpqGzinoBO2,316549,4,Hosanna (Praise Is Rising),Paul Baloche,Hosanna (Praise Is Rising) [Audio Performance Trax],0UL9awCNZORZpqGzinoBO2,spotify:artist:1jH3GuQCPI87UrS0hcScHr,"['ccm', 'christelijk', 'christian alternative rock', 'christian music', 'classic praise', 'french worship', 'roots worship', 'world worship', 'worship']",[''],50.0,2015-04-05,Error: No lyrics found,,,
0.516,0.905,11,-5.613,1,0.0399,0.000479,0.0,0.198,0.612,129.999,audio_features,spotify:track:0eI19vR5WZ12fuYcEFUVkw,https://api.spotify.com/v1/tracks/0eI19vR5WZ12fuYcEFUVkw,https://api.spotify.com/v1/audio-analysis/0eI19vR5WZ12fuYcEFUVkw,258453,4,God's Not Dead (Like A Lion),Newsboys,God's Not Dead,0eI19vR5WZ12fuYcEFUVkw,spotify:artist:1SZMaiNHfdUuU0qZKZ6y62,"['ccm', 'christian alternative rock', 'christian music', 'worship']","[""[Intro]\nGod's not dead (God's not dead)\nGod's not dead (God's not dead)\nGod's not dead (God's not dead), God's not dead\n\n[Verse 1: Michael Tait]\nLet love explode and bring the dead to life\nA love so bold to see a revolution somehow\n\n[Verse 2: Michael Tait]\nLet love explode and bring the dead to life\nA love so bold to bring a revolution somehow\n\n[Pre-Chorus: Michael Tait]\nNow I'm lost in Your freedom\nAnd this world I'll overcome\n[Chorus: Michael Tait, Michael Tait &amp; Kevin Max]\nMy God's not dead, He's surely alive\nHe's livin' on the inside, roarin' like a lion\nGod's not dead, He's surely alive\nHe's livin' on the inside, roarin' like a lion\n\n[Post-Chorus: Michael Tait]\nHe's roarin', He's roarin'\nHe's roarin' like a lion\n\n[Verse 3: Michael Tait]\nLet hope arise and make the darkness hide\nMy faith is dead, I need a resurrection somehow\n\n[Pre-Chorus: Michael Tait]\n(Oh) Now I'm lost in Your freedom\n(Oh) And this world I'll overcome\n\n[Chorus: Michael Tait &amp; Kevin Max]\nMy God's not dead, He's surely alive\nHe's livin' on the inside, roarin' like a lion\nGod's not dead, He's surely alive\nHe's livin' on the inside, roarin' like a lion\n\n[Post-Chorus: Michael Tait]\nHe's roarin', He's roarin'\nHe's roarin' like a lion\nHe's roarin', He's roarin'\n\n[Bridge: Michael Tait, Kevin Max, Michael Tait &amp; Kevin Max]\nLet Heaven roar and fire fall\nCome shake the ground with the sound of revival\nLet Heaven roar and fire fall\nCome shake the ground with the sound of revival\nLet Heaven roar (Let Heaven roar) and fire fall\nCome shake the ground with the sound of revival\n\n[Chorus: Michael Tait &amp; Kevin Max]\nMy God's not dead, He's surely alive\nHe's livin' on the inside, roarin' like a lion\nGod's not dead, He's surely alive\nHe's livin' on the inside, roarin' like a lion\nGod's not dead, He's surely alive\nHe's livin' on the inside, roarin' like a lion\nGod's not dead, He's surely alive\nHe's livin' on the inside, roarin' like a lion\n\n[Outro: Michael Tait, Kevin Max]\n(He's surely alive) He's roarin', He's roarin'\n(He's surely alive) He's roarin' like a lion\n(He's surely alive) He's roarin', He's roarin'\n(He's roarin' like a lion) He's roarin' like a lion, roarin' like a lion""]",64.0,2011-01-01,god's dead god's dead god's dead god's dead god's dead god's dead god's dead let love explode bring dead life love bold see revolution somehow let love explode bring dead life love bold bring revolution somehow i'm lost freedom world i'll overcome god's dead he's surely alive he's livin' inside roarin' like lion god's dead he's surely alive he's livin' inside roarin' like lion he's roarin' he's roarin' he's roarin' like lion let hope arise make darkness hide faith dead need resurrection somehow oh i'm lost freedom oh world i'll overcome god's dead he's surely alive he's livin' inside roarin' like lion god's dead he's surely alive he's livin' inside roarin' like lion he's roarin' he's roarin' he's roarin' like lion he's roarin' he's roarin' let heaven roar fire fall come shake ground sound revival let heaven roar fire fall come shake ground sound revival let heaven roar let heaven roar fire fall come shake ground sound revival god's dead he's surely alive he's livin' inside roarin' like lion god's dead he's surely alive he's livin' inside roarin' like lion god's dead he's surely alive he's livin' inside roarin' like lion god's dead he's surely alive he's livin' inside roarin' like lion he's surely alive he's roarin' he's roarin' he's surely alive he's roarin' like lion he's surely alive he's roarin' he's roarin' he's roarin' like lion he's roarin' like lion roarin' like lion,4.290697674418604,3.417441860465116,4.063488372093023
