danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,song_name,artist,album,id,artist_uri,genres,lyrics,popularity,release_date,lyrics_filtered,genres_encoded
0.806,0.428,1,-8.898,1,0.0561,0.305,0.0,0.0435,0.68,108.013,audio_features,spotify:track:6RFQBcrraKx3GUXu4ayKKj,https://api.spotify.com/v1/tracks/6RFQBcrraKx3GUXu4ayKKj,https://api.spotify.com/v1/audio-analysis/6RFQBcrraKx3GUXu4ayKKj,202933,4,Austin,Laur Elle,Austin,6RFQBcrraKx3GUXu4ayKKj,spotify:artist:5DQPhXyByXuh4DxLjHm7UH,['canadian pop'],"[""[Verse 1]\nHe's just like the last one\nAre you seeing the signs?\nI can't see through red flags over my eyes\nYou think that it's charming\nFor him it's a game\nAnd you're just the greatest take away\n\n[Pre-Chorus]\nAnd you know that he's not good at talking\nWhat's the point anyway?\nWhen you want comfortable and he's got all control\nHate the way that he's keeping you guessing\nDoesn't call for days\nSends you roses\nWhat a catch\n\n[Chorus]\nDon't go back to Austin\n'Cause he doesn't mean it\nHe'll tell you he loves you\nThis time he'll be different\nAnd that's when hе gets you\nHe doesn't dеserve it\nHe's not the one holding\nYou when you've been hurtin'\n\n[Verse 2]\nIt's three in the mornin'\nTalkin' 'bout him again\nI wish I could skip right to the end where\nYou're better without him\nYou'll look back and you'll say\nI'm so glad I left that guy\nWhat a waste\n\n[Pre-Chorus]\n'Cause you know that he's not good at talking\nWhat's the point anyway?\nWhen you want comfortable and he's got all control\nHate the way that he's keeping you guessing\nDoesn't call for days\nSayin' he forgot\nTo send the text\n\n[Chorus]\nDon't go back to Austin\n'Cause he doesn't mean it\nHe'll tell you he loves you\nThis time he'll be different\nAnd that's when he gets you\nHe doesn't deserve it\nHe's not the one holding\nYou when you've been hurtin'\n\n[Refrain]\nDon't go back to Austin\nI wish you wouldn't put up with all this\nI wish you wouldn't go back to Austin\nI wish you wouldn't go\nI wish you wouldn't go\n\n[Bridge]\nMaybe he'll try hard, but it won't last\nHe only makes you happy after he made you sad\nHe'll say it's nothing\nPut it in the past\nDon't look back, don't look back\n\n[Chorus]\nDon't go back to Austin\n'Cause he doesn't mean it\nHe'll tell you he loves you\nThis time he'll be different\nAnd that's when he gets you\nHe doesn't deserve it\nHe's not the one holding\nYou when you've been hurtin'\n\n[Refrain]\nDon't go back to Austin\nI wish you wouldn't put up with all this\nI wish you wouldn't go back to Austin\nI wish you wouldn't go\nI wish you wouldn't go\n\n[Outro]\nTo Austin, his time has expired\nI'm sorry he turned out to be the world's biggest liar\nSo he doesn't get you\nHe doesn't deserve it\nI know this is hard but I promise it's worth it""]",38.0,2022-03-25,he's like last one seeing signs? can't see red flags eyes think charming game greatest take away know he's good talking what's point anyway? want comfortable he's got control hate way he's keeping guessing call days sends roses catch go back austin 'cause mean he'll tell loves time he'll different that's hе gets dеserve he's one holding hurtin' three mornin' talkin' 'bout wish could skip right end better without look back say i'm glad left guy waste 'cause know he's good talking what's point anyway? want comfortable he's got control hate way he's keeping guessing call days sayin' forgot send text go back austin 'cause mean he'll tell loves time he'll different that's gets deserve he's one holding hurtin' [refrain] go back austin wish put wish go back austin wish go wish go maybe he'll try hard last makes happy made sad he'll say nothing put past look back look back go back austin 'cause mean he'll tell loves time he'll different that's gets deserve he's one holding hurtin' [refrain] go back austin wish put wish go back austin wish go wish go austin time expired i'm sorry turned world's biggest liar get deserve know hard promise worth,[1523]
0.678,0.871,6,-4.781,1,0.0342,0.0587,0.249,0.0928,0.28,117.029,audio_features,spotify:track:3Rc2ajBMInxeNGVkMPC92Y,https://api.spotify.com/v1/tracks/3Rc2ajBMInxeNGVkMPC92Y,https://api.spotify.com/v1/audio-analysis/3Rc2ajBMInxeNGVkMPC92Y,285973,4,Dancing On My Own,Robyn,Body Talk Pt. 1,3Rc2ajBMInxeNGVkMPC92Y,spotify:artist:6UE7nl9mha6s8z0wFQFIZ2,"['art pop', 'dance pop', 'electropop', 'europop', 'pop', 'scandipop', 'swedish electropop', 'swedish pop']","[""[Verse 1]\nSomebody said you got a new friend\nDoes she love you better than I can?\nThere's a big, black sky over my town\nI know where you at, I bet she's around\n\n[Refrain]\nYeah, I know it's stupid, I just gotta see it for myself\n\n[Chorus]\nI'm in the corner, watching you kiss her, ooh\nI'm right over here, why can't you see me? Ooh\nI'm giving it my all\nBut I'm not the girl you're taking home, ooh\nI keep dancing on my own\n(I keep dancing on my own)\n\n[Verse 2]\nI'm just gonna dance all night\nI'm all messed up, I'm so outta line\nStilettos and broken bottles\nI'm spinning around in circles\n\n[Chorus]\nI'm in the corner, watching you kiss her, ooh\nI'm right over here, why can't you see me? Ooh\nI'm giving it my all\nBut I'm not the girl you're taking home, ooh\nI keep dancing on my own\nI keep dancing on my own\n\n[Bridge]\nSo far away, but still so near\n(The lights go on, the music dies)\nBut you don't see me standing here\n(I just came to say goodbye)\n\n[Chorus]\nI'm in the corner, watching you kiss her, ohh\nI'm right over here, why can't you see me? Ooh\nI'm giving it my all\nBut I'm not the girl you're taking home, ooh\nI keep dancing on my own\nI keep dancing on my own\nI'm in the corner, watching you kiss her, ohh\nI'm right over here, why can't you see me? Ooh\nI'm giving it my all\nBut I'm not the girl you're taking home, ooo\nI keep dancing on my own\nI keep dancing on my own\n\n[Outro]\nI keep dancing on my own""]",60.0,2010-06-11,somebody said got new friend love better can? there's big black sky town know bet around [refrain] yeah know stupid gotta see i'm corner watching kiss ooh i'm right can't see me? ooh i'm giving i'm girl taking home ooh keep dancing keep dancing i'm gonna dance night i'm messed i'm outta line stilettos broken bottles i'm spinning around circles i'm corner watching kiss ooh i'm right can't see me? ooh i'm giving i'm girl taking home ooh keep dancing keep dancing far away still near lights go music dies see standing came say goodbye i'm corner watching kiss ohh i'm right can't see me? ooh i'm giving i'm girl taking home ooh keep dancing keep dancing i'm corner watching kiss ohh i'm right can't see me? ooh i'm giving i'm girl taking home ooo keep dancing keep dancing keep dancing,"[4449, 1326, 1090, 5178, 5518, 1456, 5041, 1699]"
0.755,0.529,0,-6.066,0,0.0986,0.0834,2.77e-05,0.27,0.228,112.035,audio_features,spotify:track:0ABeME5fOK9X8dfqx6V98C,https://api.spotify.com/v1/tracks/0ABeME5fOK9X8dfqx6V98C,https://api.spotify.com/v1/audio-analysis/0ABeME5fOK9X8dfqx6V98C,191463,4,Bitch (I Said It),Sody,Bitch (I Said It),0ABeME5fOK9X8dfqx6V98C,spotify:artist:01y8iBZYk8aeNfPsuTVrAt,"['alt z', 'pop', 'uk pop']","[""[Verse 1]\nI tried to call you today\nTo apologize for your mistakes\nI guess I’m just so used to it\nBeing the one that's in the wrong\nAnd taking all the blame\nI'm glad you didn't pick up\nI swear to God I'm better off\nI'd probably be too scared to say it to your face but anyway\nI'll text it you instead, yeah\n\n[Chorus]\nI know I said it but I don't regret it\n'Cause you're still so pathetic, yeah\nI really meant it\nAnd I wish I could change you but\nI fucking hate you\nAnd it's time that someone told you how it is\nBitch, I know I said it\nBut I don't regret it\n'Cause you're still so pathetic, yeah\nI really meant it\nAnd I wish I could change you but\nI fucking hate you\nAnd it's time that someone told you how it is\n\n[Verse 2]\nI'm done with all of the games\nYou're just a waste of space in my brain\nI'm just so over it, but I'll admit it hurts a little bit when I hear your name\nAnd it's such a shame\n\n[Chorus]\nI know I said it but I don't regret it\n'Cause you're still so pathetic, yeah\nI really meant it\nAnd I wish I could change you but\nI fucking hate you\nAnd it's time that someone told you how it is\nBitch, I know I said it\nBut I don't regret it\n'Cause you're still so pathetic, yeah\nI really meant it\nAnd I wish I could change you but\nI fucking hate you\nAnd it's time that someone told you how it is, bitch\n\n[Bridge]\nLa, la, la, la, la, la, la, la, la\nLa, la, la, la, la, la, la, la, la\nLa, la, la, la, la, la, la, la, la\nLa, la, la, la, la, la, la, la, la\n\n[Chorus]\nI know I said it but I don't regret it\n'Cause you're still so pathetic, yeah\nI really meant it\nAnd I wish I could change you but\nI fucking hate you\nAnd it's time that someone told you how it is\nBitch, I know I said it\nBut I don't regret it\n'Cause you're still so pathetic, yeah\nI really meant it\nAnd I wish I could change you but\nI fucking hate you\nAnd it's time that someone told you how it is\nUgh, you're such a bitch\n\n[Outro]\nLa, la, la, la, la, la, la, la, la\nLa, la, la, la, la, la, la, la, la (Bitch)\nLa, la, la, la, la, la, la, la, la\nLa, la, la, la, la, la, la, bitch""]",63.0,2021-10-01,tried call today apologize mistakes guess i’m used one that's wrong taking blame i'm glad pick swear god i'm better i'd probably scared say face anyway i'll text instead yeah know said regret 'cause still pathetic yeah really meant wish could change fucking hate time someone told bitch know said regret 'cause still pathetic yeah really meant wish could change fucking hate time someone told i'm done games waste space brain i'm i'll admit hurts little bit hear name shame know said regret 'cause still pathetic yeah really meant wish could change fucking hate time someone told bitch know said regret 'cause still pathetic yeah really meant wish could change fucking hate time someone told bitch la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la know said regret 'cause still pathetic yeah really meant wish could change fucking hate time someone told bitch know said regret 'cause still pathetic yeah really meant wish could change fucking hate time someone told ugh bitch la la la la la la la la la la la la la la la la la la bitch la la la la la la la la la la la la la la la la bitch,"[174, 5518, 329]"
0.772,0.845,0,-4.546,1,0.0389,0.0605,0.0,0.342,0.958,123.967,audio_features,spotify:track:2AuvCgODcdFVPHdErDoQuY,https://api.spotify.com/v1/tracks/2AuvCgODcdFVPHdErDoQuY,https://api.spotify.com/v1/audio-analysis/2AuvCgODcdFVPHdErDoQuY,183449,4,sad disco,mxmtoon,sad disco,2AuvCgODcdFVPHdErDoQuY,spotify:artist:0HthCchcL0kVLHTr113Vk1,"['alt z', 'bedroom pop', 'indie pop', 'pop']","[""[Intro]\nSad disco\nSad disco\n\n[Verse 1]\nFriday night and she's bored at home\nHer friends are gone, there's no place to go\nWith ABBA on her cracked iPhone\nIt's her own sad disco\nBoys don't call and the girls won't stay\nAnd mom and dad are in Half Moon Bay\nShe finds herself in the house alone\nIt's her own sad disco\n\n[Chorus]\nShe got something deep down inside her\nWhen she move, she walkin' on water\nTakes your hand when you're bored and alone\nIt's your own sad disco\n\n[Post-Chorus]\nSad disco\nSad disco\nTakes your hand when you're bored and alone\nIt's your own sad disco\n\n[Verse 2]\nAll grown up, twеnty-one years old\nSinging on her hairbrush microphonе\nKinda looks like me with the lights down low\nIt's her own sad disco\nShe got her hair down, body off the ground\nHands up in the air like she'll never put 'em down\nShe's got all night to dance around\nAnd you know she's gonna let it out\n\n[Chorus]\nShe got something deep down inside her\nWhen she move, she walkin' on water\nTakes your hand when you're bored and alone\nIt's your own sad disco\n\n[Post-Chorus]\nSad disco\nSad disco\nTakes your hand when you're bored and alone\nIt's your own sad disco\n\n[Bridge]\nUh, uh, oh, oh\nUh, uh, oh, oh\n\n[Chorus]\nShe got something deep down inside her (She's gonna let it out)\nWhen she move, she walkin' on water\nTakes your hand when you're bored and alone\nIt's your own sad disco (She's gonna let it out)\n\n[Post-Chorus]\nSad disco (She's gonna let it out)\nSad disco (She's gonna let it out)\nTakes your hand when you're bored and alone\nIt's your own sad disco""]",62.0,2022-03-24,sad disco sad disco friday night bored home friends gone there's place go abba cracked iphone sad disco boys call girls stay mom dad half moon bay finds house alone sad disco got something deep inside move walkin' water takes hand bored alone sad disco sad disco sad disco takes hand bored alone sad disco grown twеnty-one years old singing hairbrush microphonе kinda looks like lights low sad disco got hair body ground hands air like she'll never put 'em got night dance around know gonna let got something deep inside move walkin' water takes hand bored alone sad disco sad disco sad disco takes hand bored alone sad disco uh uh oh oh uh uh oh oh got something deep inside gonna let move walkin' water takes hand bored alone sad disco gonna let sad disco gonna let sad disco gonna let takes hand bored alone sad disco,"[174, 1253, 5276, 5518]"
0.682,0.678,6,-5.531,1,0.049,0.247,8.12e-05,0.0965,0.414,113.06,audio_features,spotify:track:2ksxz0To79bB3LBBndQVhQ,https://api.spotify.com/v1/tracks/2ksxz0To79bB3LBBndQVhQ,https://api.spotify.com/v1/audio-analysis/2ksxz0To79bB3LBBndQVhQ,214103,4,Sad Song,GRACEY,Fragile,2ksxz0To79bB3LBBndQVhQ,spotify:artist:7xBGi7Eign0fX7jGQj5KlJ,"['alt z', 'uk pop']","['[Verse 1]\nSaw you leave with her with that look in your eyes\nAnd I know that look, seen it once or twice\nIf they\'d have served me more, I would\'ve drunk the bar dry, yeah\nHad to down my drink, didn\'t say no goodbyes\nWith cheap mascara running down my face\nI don\'t feel nothing from those 808\'s (08\'s)\nI wanna hear somebody\'s poor heart break like mine (Whoo, ooh-ooh, ooh-ooh, hoo)\n\n[Chorus]\nSometimes all I want is a sad song\nBut that ain\'t what the radio\'s playing\nAll I need is for someone to tell me how I\'m feeling\nAll I want is a sad song\nLook outside the window it\'s raining\nAll I need is for someone to tell me how I feel\n\n[Post-Chorus]\nIn a cab for one\nGot my heartbreak on\nCan the driver hear me crying? \'Cause I really need this song\nIn a cab for one\nGot my heartbreak on\nLike, ""Whoo, ooh-ooh, ooh-ooh, hoo""\n\n[Verse 2]\nDriver things went real bad for me tonight (Tonight)\nYou ain\'t the only one taking me for a ride\nOh, oh-oh, woah, oh\nSo please, don\'t take me home \'cause I wanna drive\nOh, yeah\n\n[Chorus]\nSometimes all I want is a sad song\nBut that ain\'t what the radio\'s playing\nAll I need is for someone to tell me how I\'m feeling\nAll I want is a sad song\nLook outside the window it\'s raining\nAll I need is for someone to tell me how I feel\n\n[Post-Chorus]\nIn a cab for one\nGot my heartbreak on\nCan the driver hear me crying? \'Cause I really need this song\nIn a cab for one\nGot my heartbreak on\nLike, ""Whoo, ooh-ooh, ooh-ooh, hoo""\n\n[Bridge]\nRight now I need to hear those heartbreak ones\nSome Joni Mitchell, not those billboard songs\nI wanna hear somebody say that their baby\'s gone (Whoo, ooh-ooh, ooh-ooh, hoo)\nSometimes all I want is a sad song\nBut that ain\'t what the radio\'s playing, no\nTell me how I feel, yeah\n\n[Chorus]\nSometimes all I want is a sad song\nBut that ain\'t what the radio\'s playing\nAll I need is for someone to tell me how I\'m feeling\nAll I want is a sad song\nLook outside the window it\'s raining (Oh)\nAll I need is for someone to tell me how I feel\n\n[Post-Chorus]\nIn a cab for one\nGot my heartbreak on\nCan the driver hear me crying? \'Cause I really need this song\nIn a cab for one\nGot my heartbreak on\nLike, ooh-ooh, ooh, ooh\nOoh, ooh']",55.0,2021-10-13,"saw leave look eyes know look seen twice they'd served would've drunk bar dry yeah drink say goodbyes cheap mascara running face feel nothing 808's 08's wanna hear somebody's poor heart break like mine whoo ooh-ooh ooh-ooh hoo sometimes want sad song ain't radio's playing need someone tell i'm feeling want sad song look outside window raining need someone tell feel cab one got heartbreak driver hear crying? 'cause really need song cab one got heartbreak like ""whoo ooh-ooh ooh-ooh hoo"" driver things went real bad tonight tonight ain't one taking ride oh oh-oh woah oh please take home 'cause wanna drive oh yeah sometimes want sad song ain't radio's playing need someone tell i'm feeling want sad song look outside window raining need someone tell feel cab one got heartbreak driver hear crying? 'cause really need song cab one got heartbreak like ""whoo ooh-ooh ooh-ooh hoo"" right need hear heartbreak ones joni mitchell billboard songs wanna hear somebody say baby's gone whoo ooh-ooh ooh-ooh hoo sometimes want sad song ain't radio's playing tell feel yeah sometimes want sad song ain't radio's playing need someone tell i'm feeling want sad song look outside window raining oh need someone tell feel cab one got heartbreak driver hear crying? 'cause really need song cab one got heartbreak like ooh-ooh ooh ooh ooh ooh","[174, 329]"
0.597,0.745,0,-6.531,1,0.0807,0.0404,2.11e-05,0.533,0.536,140.079,audio_features,spotify:track:2au4DyNFX59VLV5elmhagj,https://api.spotify.com/v1/tracks/2au4DyNFX59VLV5elmhagj,https://api.spotify.com/v1/audio-analysis/2au4DyNFX59VLV5elmhagj,189628,4,Cry,Cat & Calmell,Cry,2au4DyNFX59VLV5elmhagj,spotify:artist:0SaaipFXHYbYDLDB6atAoR,[],"[""Please don't get mad if I ask\nFor the third time if you hate me\nI know you don't, I'm just insecure tonight\nSay you love me\n\nDon't get my hopes up too high\nI get disappointed easily\nYou did no wrong, I'm just insecure tonight\nSay you love me\n\nSo feel free to tell me\nTo shut up and leave\nEveryone around me is lying\nI'm the only one that’s crying\nYeah\n\nSo feel free to tell me\nTo shut up and leave\nEveryone around me is lying\nI'm the only one that’s cry - cry - cry -crying\n\nMaybe I have gone too far\nMaybe we got it all wrong\nI don't know how much longer we've got\nSo just say you love me\n\nSame reason i can't love you\nI don't love myself\nPlease don't leave me out here\nI can't trust myself\nThese days I've lost my head\nCan't tell if I’m okay\nI’m okay\n\nSo feel free to tell me\nTo shut up and leave\nEveryone around me is lying\nI'm the only one that’s crying\nYeah\n\nSo feel free to tell me\nTo shut up and leave\nEveryone around me is lying\nI'm the only one that’s cry - cry - cry -crying\n\nSo feel free to tell me\nTo shut up and leave\nEveryone around me is lying\nI'm the only one that’s crying\nYeah\n\nSo feel free to tell me\nTo shut up and leave\nEveryone around me is lying\nI'm the only one that’s cry - cry - cry -crying""]",57.0,2022-02-09,please get mad ask third time hate know i'm insecure tonight say love get hopes high get disappointed easily wrong i'm insecure tonight say love feel free tell shut leave everyone around lying i'm one that’s crying yeah feel free tell shut leave everyone around lying i'm one that’s cry - cry - cry -crying maybe gone far maybe got wrong know much longer we've got say love reason can't love love please leave can't trust days i've lost head can't tell i’m okay i’m okay feel free tell shut leave everyone around lying i'm one that’s crying yeah feel free tell shut leave everyone around lying i'm one that’s cry - cry - cry -crying feel free tell shut leave everyone around lying i'm one that’s crying yeah feel free tell shut leave everyone around lying i'm one that’s cry - cry - cry -crying,[]
0.766,0.656,2,-7.027,1,0.157,0.549,0.0,0.129,0.707,150.017,audio_features,spotify:track:69btEcSPQvdTiEv2Yb1nek,https://api.spotify.com/v1/tracks/69btEcSPQvdTiEv2Yb1nek,https://api.spotify.com/v1/audio-analysis/69btEcSPQvdTiEv2Yb1nek,193008,4,Hate That You Love Me,Laur Elle,Hate That You Love Me,69btEcSPQvdTiEv2Yb1nek,spotify:artist:5DQPhXyByXuh4DxLjHm7UH,['canadian pop'],[''],38.0,2021-10-22,Error: No lyrics found,[1523]
0.74,0.415,0,-8.914,1,0.0707,0.242,0.000156,0.319,0.156,136.029,audio_features,spotify:track:7JDWhC422Gtk1Bq0mL3OTC,https://api.spotify.com/v1/tracks/7JDWhC422Gtk1Bq0mL3OTC,https://api.spotify.com/v1/audio-analysis/7JDWhC422Gtk1Bq0mL3OTC,180161,4,feel something,Bea Miller,feel something,7JDWhC422Gtk1Bq0mL3OTC,spotify:artist:1o2NpYGqHiCq7FoiYdyd1x,"['alt z', 'dance pop', 'electropop', 'indie poptimism', 'modern rock', 'pop', 'post-teen pop', 'talent show']","[""[Verse 1]\nIf I could choose anything\nI would be good in bed one day\nI would fall into love and stay\nI'd fall into love\n\n[Pre-Chorus]\nAnd it’s not fair\nI keep on writing a sequel to stories\nI know that are not there\nI don't wanna die, but I don't wanna live like this\n\n[Chorus]\nI just wanna feel something, I just wanna feel\nI just wanna feel something, I just wanna feel\nSomething really real, so that I can really\nFeel like a person again\nI just wanna feel something, I just wanna feel\nI just wanna feel something, I just wanna feel\nSomething really real, so that I can really\nFeel like a person again\n\n[Verse 2]\nIf I am telling the truth\nWatching my friends break their hearts into two\nMakes me jealous, I know that it’s cruel\nBut what can you do?\n\n[Pre-Chorus]\nAnd it's not fair\nI keep on writing a sequel to stories\nI know that are not there\nI don't wanna die, but I don't wanna live like this\n\n[Chorus]\nI just wanna feel something, I just wanna feel\nI just wanna feel something, I just wanna feel\nSomething really real, so that I can really\nFeel like a person again\nI just wanna feel something, I just wanna feel\nI just wanna feel something, I just wanna feel\nSomething really real, so that I can really\nFeel like a person again\n\n[Bridge]\nCan you tell me a secret?\nCan you tell me what's wrong with me?\nI know I should be angry\nBut I can barely feel a fucking thing\nCan you tell me a secret?\nCan you tell me what's wrong with me?\nCan you tell me what's wrong with me?\n\n[Chorus]\nI just wanna feel something, I just wanna feel\nI just wanna feel something, I just wanna feel\nSomething really real, so that I can really\nFeel like a person again\nI just wanna feel something, I just wanna feel\nI just wanna feel something, I just wanna feel\nSomething really real, so that I can really\nFeel like a person again\n\n[Outro]\nCan you tell me a secret?\nCan you tell me what's wrong with me?\nI know I should be angry\nBut I can barely feel a fucking thing\nCan you tell me a secret?\nCan you tell me what’s wrong with me?\nCan you tell me what’s wrong with me?""]",77.0,2019-06-21,could choose anything would good bed one day would fall love stay i'd fall love it’s fair keep writing sequel stories know wanna die wanna live like wanna feel something wanna feel wanna feel something wanna feel something really real really feel like person wanna feel something wanna feel wanna feel something wanna feel something really real really feel like person telling truth watching friends break hearts two makes jealous know it’s cruel do? fair keep writing sequel stories know wanna die wanna live like wanna feel something wanna feel wanna feel something wanna feel something really real really feel like person wanna feel something wanna feel wanna feel something wanna feel something really real really feel like person tell secret? tell what's wrong me? know angry barely feel fucking thing tell secret? tell what's wrong me? tell what's wrong me? wanna feel something wanna feel wanna feel something wanna feel something really real really feel like person wanna feel something wanna feel wanna feel something wanna feel something really real really feel like person tell secret? tell what's wrong me? know angry barely feel fucking thing tell secret? tell what’s wrong me? tell what’s wrong me?,"[174, 1326, 1090, 1780, 3530, 5518, 1824, 4033]"
0.647,0.642,9,-7.306,0,0.0743,0.262,0.0,0.134,0.48,90.045,audio_features,spotify:track:3jbAzLVcHiI5hYSkcKe1Ty,https://api.spotify.com/v1/tracks/3jbAzLVcHiI5hYSkcKe1Ty,https://api.spotify.com/v1/audio-analysis/3jbAzLVcHiI5hYSkcKe1Ty,164167,4,Love Runs Out (feat. G-Eazy & Sasha Alex Sloan),Martin Garrix,Love Runs Out (feat. G-Eazy & Sasha Alex Sloan),3jbAzLVcHiI5hYSkcKe1Ty,spotify:artist:60d24wfXkVzDSfLS6hyCjZ,"['dance pop', 'dutch edm', 'edm', 'pop', 'pop dance', 'progressive house', 'tropical house']","[""[Intro: Sasha Alex Sloan, G-Eazy, Both]\nWhat if our love runs out, out, out?\nDon't wanna let you down-own-own (You know, uh)\nWhat if our love runs out? (Yeah)\n\n[Verse 1: G-Eazy]\nCan't help but think, what if, fast forward five or six\nYears and some change, we end up Mr. and Mrs. Smith?\nMy baby with the shits, right now it's perfect bliss\nBut what if one day I wake up and I don't feel like this?\nIf I can't trust you, feel disconnected and front you\nI just realized, been a couple days since I fucked you\nSomething's feelin' strange, I don't feel the same when I touch you\nAnd I could feel the distance, I wonder if I still love you\nFor real, yeah\n\n[Pre-Chorus: Sasha Alex Sloan &amp; G-Eazy]\n'Cause, babe, I've learned my lesson\nSorry for second guеssing\nBut I've just got a question (What's that?)\n\n[Chorus: Sasha Alex Sloan &amp; G-Eazy, G-Eazy]\nWhat if our love runs out?\nWhat if our lovе runs out? (Yeah)\nWhat if one day we wake up\nAnd don't feel like we do now? (You know)\nWhat if our love runs out? (Yeah)\nWhat if our love runs out? (Uh)\nWhat if one day we wake up\nAnd we both want somethin' else?\n\n[Post-Chorus: Sasha Alex Sloan, G-Eazy, Both]\nBut what if our love runs out? (Yeah)\nYeah, what if our love runs out? (Yee)\nWhat if our love runs out, out, out?\nDon't wanna let you down-own-own\nWhat if our love runs out?\n\n[Verse 2: G-Eazy]\nUh, can't help but think what if this love's a perfect gift?\n'Cause when I'm down on my lowest, you come give me a lift\nLet's fix our direction before we go adrift\n'Cause if it's worth it, let's work it, I'm down to run a risk\nIt's feelin' perfect for certain right now, but then again\nIf I lost you, I never could be your friend again\nDoubts creep up inside us if we both let 'em in\nUnless we both never lettin' that question enter in the first place\n\n[Pre-Chorus: Sasha Alex Sloan &amp; G-Eazy]\n'Cause babe, I've learned my lesson (You know)\nSorry for second-guessing (Just don't let it get there)\nBut I've just got a question (What's that?)\n\n[Chorus: Sasha Alex Sloan &amp; G-Eazy, G-Eazy]\nWhat if our love runs out?\nWhat if our love runs out? (Yeah)\nWhat if one day we wake up\nAnd don't feel like we do now? (You know)\nWhat if our love runs out? (Yeah)\nWhat if our love runs out? (Oh)\nWhat if one day we wake up\nAnd we both want somethin' else?\n\n[Post-Chorus: Sasha Alex Sloan &amp; G-Eazy, G-Eazy, Sasha Sloan]\nBut what if our love runs out? (Yeah)\nYeah, what if our love runs out? (Yee)\nWhat if our love runs out, out, out?\nDon't wanna let you down-own-own\nWhat if our love runs out?""]",71.0,2021-08-06,love runs out? wanna let down-own-own know uh love runs out? yeah can't help think fast forward five six years change end mr. mrs. smith? baby shits right perfect bliss one day wake feel like this? can't trust feel disconnected front realized couple days since fucked something's feelin' strange feel touch could feel distance wonder still love real yeah 'cause babe i've learned lesson sorry second guеssing i've got question what's that? love runs out? lovе runs out? yeah one day wake feel like now? know love runs out? yeah love runs out? uh one day wake want somethin' else? love runs out? yeah yeah love runs out? yee love runs out? wanna let down-own-own love runs out? uh can't help think love's perfect gift? 'cause i'm lowest come give lift let's fix direction go adrift 'cause worth let's work i'm run risk feelin' perfect certain right lost never could friend doubts creep inside us let 'em unless never lettin' question enter first place 'cause babe i've learned lesson know sorry second-guessing let get i've got question what's that? love runs out? love runs out? yeah one day wake feel like now? know love runs out? yeah love runs out? oh one day wake want somethin' else? love runs out? yeah yeah love runs out? yee love runs out? wanna let down-own-own love runs out?,"[1326, 3159, 4833, 5518, 1037, 2815, 4980]"
0.628,0.524,1,-7.668,1,0.0347,0.103,0.00387,0.111,0.373,118.044,audio_features,spotify:track:5vItiIbaaoTxihU8uAlRbq,https://api.spotify.com/v1/tracks/5vItiIbaaoTxihU8uAlRbq,https://api.spotify.com/v1/audio-analysis/5vItiIbaaoTxihU8uAlRbq,193728,4,You Let Me Down,Alessia Cara,In The Meantime,5vItiIbaaoTxihU8uAlRbq,spotify:artist:2wUjUUtkb5lvLKcGKsKqsR,"['canadian contemporary r&b', 'canadian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop']","[""[Verse 1]\nYou evergreened the fire in my past\nCan't run free if I keep looking back\nIt's a lost cause, it's a bad bet\nIt's a storm but gotta face it\n\n[Chorus]\nOh, I\nI love you but you let me down\nYeah, oh, I\nI love you but you let me down\n\n[Verse 2]\nThe last time for an eternity\nYou're only mine when I am on my feet\nYou're elusive and it kills me\nInconclusive, never-ending\n\n[Chorus]\nOh, I\nI love you but you let me down\nYeah, oh, I\nI love you but you let me down\n\n[Refrain]\nAnd I'll go as fast as I can\nNo time for a moment to myself\nAnd I'll go as fast as I can\nI swear on my life it's for the best\n\n[Bridge]\nAnd I might call you on your birthday\nCover words I wanted to say\nWith some small talk, and I'll tear up\nBut I'll go on, and I'll hang up before I can say\n\n[Chorus]\nI love you but you let me down\nNo-no, oh, I\nI love you but you let me down\n\n[Refrain]\nAnd I'll go as fast as I can\nNo time for a moment to myself\nAnd I'll go as fast as I can\nI swear on my life it's for the best\n\n[Bridge]\nThough our moments kept us waiting\nI will keep it, keep it sacred\nLike it's golden, wish you nothing\nBut an exhale, and I'm hoping you hear when I say\n\n[Chorus]\nI never meant to let you down\nOh, I\nI love you but you let me down""]",51.0,2021-09-24,evergreened fire past can't run free keep looking back lost cause bad bet storm gotta face oh love let yeah oh love let last time eternity mine feet elusive kills inconclusive never-ending oh love let yeah oh love let [refrain] i'll go fast time moment i'll go fast swear life best might call birthday cover words wanted say small talk i'll tear i'll go i'll hang say love let no-no oh love let [refrain] i'll go fast time moment i'll go fast swear life best though moments kept us waiting keep keep sacred like golden wish nothing exhale i'm hoping hear say never meant let oh love let,"[3696, 1523, 1326, 1090, 5518, 1824]"
