,Words
0,'intro:
1,scary y1
2,hahaha y1
3,yo y1
4,i'll
5,tell x
6,you x
7,what x
8,I x
9,want y1
10,what x
11,I x
12,really y1
13,really x
14,want
15,so
16,tell x
17,me x
18,what x
19,you x
20,want y1
21,what x
22,you x
23,really y1
24,really x
25,want
26,i'll
27,tell x
28,you x
29,what x
30,I x
31,want y1
32,what x
33,I x
34,really y1
35,really x
36,want
37,so
38,tell x
39,me x
40,what x
41,you x
42,want y1
43,what x
44,you x
45,really y1
46,really x
47,want
48,i
49,wanna x
50,I x
51,wanna x
52,I x
53,wanna x
54,I x
55,wanna x
56,i
57,wanna x
58,really y1
59,really y1
60,really x
61,wanna x
62,ah
63,sporty y1
64,baby y1
65,scary y1
66,if
67,you x
68,want x
69,my x
70,future y1
71,forget x
72,my x
73,past
74,if
75,you x
76,wanna x
77,get x
78,with x
79,me y1
80,better x
81,make x
82,it x
83,fast
84,now
85,don't
86,go x
87,wasting x
88,my x
89,precious x
90,time
91,get
92,your x
93,act x
94,together y1
95,we x
96,could x
97,be x
98,just x
99,fine
100,scary y1
101,i'll
102,tell x
103,you x
104,what x
105,I x
106,want y1
107,what x
108,I x
109,really y1
110,really x
111,want
112,so
113,tell x
114,me x
115,what x
116,you x
117,want y1
118,what x
119,you x
120,really y1
121,really x
122,want
123,i
124,wanna x
125,I x
126,wanna x
127,I x
128,wanna x
129,I x
130,wanna x
131,i
132,wanna x
133,really y1
134,really y1
135,really x
136,wanna x
137,ah
138,all y1
139,if
140,you x
141,wanna x
142,be x
143,my x
144,lover y1
145,you x
146,gotta x
147,get x
148,with x
149,my x
150,friends
151,get x
152,with x
153,my x
154,make
155,it x
156,last x
157,forever y1
158,friendship x
159,never x
160,ends
161,if
162,you x
163,wanna x
164,be x
165,my x
166,lover y1
167,you x
168,have x
169,got x
170,to x
171,give
172,taking
173,is x
174,too x
175,easy y1
176,but x
177,that's
178,the x
179,way x
180,it x
181,is
182,sporty y1
183,baby y1
184,scary y1
185,ginger y1
186,oh
187,what x
188,you x
189,think x
190,about x
191,that y1
192,now x
193,you x
194,know x
195,how x
196,I x
197,feel
198,say
199,you x
200,could x
201,handle x
202,my x
203,love y1
204,are x
205,you x
206,for x
207,you x
208,for x
209,i
210,won't
211,be x
212,hasty y1
213,i'll
214,give x
215,you x
216,a x
217,try
218,if
219,you x
220,really x
221,bug x
222,me y1
223,then x
224,i'll
225,say x
226,goodbye
227,scary y1
228,yo y1
229,i'll
230,tell x
231,you x
232,what x
233,I x
234,want y1
235,what x
236,I x
237,really y1
238,really x
239,want
240,so
241,tell x
242,me x
243,what x
244,you x
245,want y1
246,what x
247,you x
248,really y1
249,really x
250,want
251,i
252,wanna x
253,I x
254,wanna x
255,I x
256,wanna x
257,I x
258,wanna x
259,i
260,wanna x
261,really y1
262,really y1
263,really x
264,wanna x
265,ah
266,all y1
267,baby y1
268,if
269,you x
270,wanna x
271,be x
272,my x
273,lover y1
274,you x
275,gotta x
276,get x
277,with x
278,my x
279,friends
280,get x
281,with x
282,my x
283,make
284,it x
285,last x
286,forever y1
287,friendship x
288,never x
289,ends
290,if
291,you x
292,wanna x
293,be x
294,my x
295,lover y1
296,you x
297,have x
298,got x
299,to x
300,give
301,(you've
302,got x
303,to x
304,taking
305,is x
306,too x
307,easy y1
308,but x
309,that's
310,the x
311,way x
312,it x
313,is
314,scary y1
315,ginger y1
316,so
317,here's
318,a x
319,story x
320,from x
321,A x
322,to x
323,z
324,you
325,wanna x
326,get x
327,with x
328,me y1
329,you x
330,gotta x
331,listen x
332,carefully
333,we
334,got x
335,Em x
336,in x
337,the x
338,place x
339,who x
340,likes x
341,it x
342,in x
343,your x
344,face
345,we
346,got x
347,G x
348,like x
349,MC x
350,who x
351,likes x
352,it x
353,on x
354,easy
355,V x
356,doesn't
357,come x
358,for x
359,free y1
360,she's
361,a x
362,real x
363,lady
364,and
365,as x
366,for x
367,me y1
368,haha y1
369,you'll
370,see
371,slam
372,your x
373,body x
374,down x
375,and x
376,wind x
377,it x
378,all x
379,around
380,slam
381,your x
382,body x
383,down x
384,and x
385,wind x
386,it x
387,all x
388,around
389,all y1
390,baby y1
391,if
392,you x
393,wanna x
394,be x
395,my x
396,lover y1
397,you x
398,gotta x
399,get x
400,with x
401,my x
402,friends
403,get x
404,with x
405,my x
406,make
407,it x
408,last x
409,forever y1
410,friendship x
411,never x
412,ends
413,if
414,you x
415,wanna x
416,be x
417,my x
418,lover y1
419,you x
420,have x
421,got x
422,to x
423,give
424,(you've
425,got x
426,to x
427,taking
428,is x
429,too x
430,easy y1
431,but x
432,that's
433,the x
434,way x
435,it x
436,is
437,all y1
438,if
439,you x
440,wanna x
441,be x
442,my x
443,lover
444,gotta y1
445,you x
446,gotta y1
447,you x
448,gotta y1
449,you x
450,gotta y1
451,you x
452,gotta x
453,make
454,it x
455,last x
456,forever y1
457,slam y1
458,slam y1
459,slam
460,your x
461,body x
462,down x
463,and x
464,wind x
465,it x
466,all x
467,around
468,slam
469,your x
470,body x
471,down x
472,and x
473,wind x
474,it x
475,all x
476,around y1
477,hey y1
478,hey y1
479,hey y1
480,hey y1
481,slam
482,your x
483,body x
484,down x
485,and x
486,wind x
487,it x
488,all x
489,around
490,slam
491,your x
492,body x
493,down x
494,and x
495,ah y1
496,uh y1
497,uh y1
498,if
499,you x
500,wanna x
501,be x
502,my x
503,lover'
504,and
505,i'd
506,give x
507,up x
508,forever x
509,to x
510,touch x
511,you
512,'cause
513,I x
514,know x
515,that x
516,you x
517,feel x
518,me x
519,somehow
520,you're
521,the x
522,closest x
523,to x
524,heaven x
525,that x
526,i'll
527,ever x
528,be
529,and
530,I x
531,don't
532,wanna x
533,go x
534,home x
535,right x
536,now
537,and
538,all x
539,I x
540,can x
541,taste x
542,is x
543,this x
544,moment
545,and
546,all x
547,I x
548,can x
549,breathe x
550,is x
551,your x
552,life
553,and
554,sooner x
555,or x
556,later y1
557,it's
558,over
559,i
560,just x
561,don't
562,wanna x
563,miss x
564,you x
565,tonight
566,and
567,I x
568,don't
569,want x
570,the x
571,world x
572,to x
573,see x
574,me
575,'cause
576,I x
577,don't
578,think x
579,that x
580,they'd
581,understand
582,when
583,everything's
584,made x
585,to x
586,be x
587,broken
588,i
589,just x
590,want x
591,you x
592,to x
593,know x
594,who x
595,I x
596,am
597,and
598,you x
599,can't
600,fight x
601,the x
602,tears x
603,that x
604,ain't
605,coming
606,or
607,the x
608,moment x
609,of x
610,truth x
611,in x
612,your x
613,lies
614,when
615,everything x
616,feels x
617,like x
618,the x
619,movies y1
620,yeah y1
621,you x
622,bleed x
623,just x
624,to x
625,know x
626,you're
627,alive
628,and
629,I x
630,don't
631,want x
632,the x
633,world x
634,to x
635,see x
636,me
637,'cause
638,I x
639,don't
640,think x
641,that x
642,they'd
643,understand
644,when
645,everything's
646,made x
647,to x
648,be x
649,broken
650,i
651,just x
652,want x
653,you x
654,to x
655,know x
656,who x
657,I x
658,am
659,and
660,I x
661,don't
662,want x
663,the x
664,world x
665,to x
666,see x
667,me
668,'cause
669,I x
670,don't
671,think x
672,that x
673,they'd
674,understand
675,when
676,everything's
677,made x
678,to x
679,be x
680,broken
681,i
682,just x
683,want x
684,you x
685,to x
